Upper Lat,Upper Lon,Lower Lat,Lower Lon,Energy stoage MWh per ha,GWh,h
-34.5075,150.6631,-34.5392,150.7425,41,2,6
-34.5625,150.6025,-34.5472,150.7208,22,2,6
-34.5425,150.6339,-34.5467,150.7089,54,2,6
-36.6325,149.4297,-36.615,149.4892,60,2,6
-36.52,149.4797,-36.5803,149.5456,58,2,6
-36.5628,149.4264,-36.6044,149.5206,60,2,6
-36.5328,149.4669,-36.6039,149.5272,58,2,6
-36.6344,149.4542,-36.6375,149.5172,48,2,6
-36.8411,149.5103,-36.7897,149.6003,46,2,6
-36.5872,149.4072,-36.6111,149.5178,60,2,6
-36.5619,149.4156,-36.6142,149.4994,58,2,6
-36.8139,149.4961,-36.7928,149.5831,68,2,6
-36.6314,149.4589,-36.6442,149.5389,51,2,6
-36.8569,149.4697,-36.9228,149.5064,60,2,6
-36.7989,149.4692,-36.7794,149.61,35,2,6
-36.5508,149.4472,-36.6069,149.5261,62,2,6
-36.5728,149.4186,-36.6028,149.5075,90,2,6
-36.6219,149.4083,-36.6375,149.5086,66,2,6
-36.6242,149.4428,-36.6264,149.5281,60,2,6
-36.6889,149.4419,-36.6506,149.5375,48,2,6
-36.5061,149.4606,-36.5747,149.5497,54,2,6
-36.6189,149.4072,-36.645,149.5103,66,2,6
-36.6425,149.4536,-36.6497,149.5164,74,2,6
-36.8367,149.4806,-36.9172,149.5217,35,2,6
-36.63,149.4139,-36.6211,149.5017,71,2,6
-36.6194,149.4261,-36.6175,149.5314,54,2,6
-36.6108,149.4503,-36.6214,149.5733,28,2,6
-36.9028,149.4331,-36.9344,149.5225,30,2,6
-36.6122,149.4119,-36.6572,149.5072,66,2,6
-36.8022,149.4722,-36.7675,149.6222,40,2,6
-29.8308,150.2928,-29.8297,150.3586,12,2,6
-42.7019,147.0961,-42.6736,147.1622,36,2,6
-42.8342,147.1358,-42.7953,147.1283,40,2,6
-42.1225,147.26,-42.1189,147.3158,41,2,6
-42.0064,147.1586,-41.9819,147.2522,40,2,6
-42.6992,147.0281,-42.7483,147.0025,42,2,6
-42.2436,147.8575,-42.2814,147.9475,42,2,6
-42.6853,147.5925,-42.7192,147.5928,25,2,6
-42.1667,147.2503,-42.1367,147.3311,11,2,6
-42.1164,147.2317,-42.0842,147.3386,31,2,6
-42.8447,147.1406,-42.7886,147.1256,48,2,6
-42.135,147.2303,-42.1161,147.3314,30,2,6
-42.4978,147.0242,-42.5342,147.0936,22,2,6
-42.2008,147.2606,-42.1681,147.3458,22,2,6
-42.4917,147.3742,-42.535,147.4147,19,2,6
-28.6642,152.1378,-28.7086,152.205,21,2,6
-28.6439,152.1739,-28.6175,152.2264,29,2,6
-28.3339,152.4042,-28.3669,152.4367,35,2,6
-28.75,152.1153,-28.7333,152.1833,43,2,6
-28.6461,152.1539,-28.6786,152.2336,34,2,6
-28.7875,152.1142,-28.7603,152.1686,22,2,6
-28.6081,152.1825,-28.625,152.2369,35,2,6
-28.7444,152.2861,-28.7128,152.285,57,2,6
-28.2433,152.4728,-28.2156,152.53,35,2,6
-28.2406,152.3758,-28.2022,152.3517,30,2,6
-28.6867,152.1253,-28.7161,152.1706,31,2,6
-28.9969,152.4272,-29.0328,152.4544,27,2,6
-28.9889,152.2558,-29.0094,152.3433,44,2,6
-28.3753,152.3958,-28.4019,152.4175,22,2,6
-28.7361,152.0997,-28.7414,152.1764,19,2,6
-28.7314,152.1314,-28.7147,152.1911,62,2,6
